time,poses[0].position.x,poses[0].position.y,poses[0].position.z,poses[0].orientation.x,poses[0].orientation.y,poses[0].orientation.z,poses[0].orientation.w,poses[1].position.x,poses[1].position.y,poses[1].position.z,poses[1].orientation.x,poses[1].orientation.y,poses[1].orientation.z,poses[1].orientation.w,poses[2].position.x,poses[2].position.y,poses[2].position.z,poses[2].orientation.x,poses[2].orientation.y,poses[2].orientation.z,poses[2].orientation.w,poses[3].position.x,poses[3].position.y,poses[3].position.z,poses[3].orientation.x,poses[3].orientation.y,poses[3].orientation.z,poses[3].orientation.w,poses[4].position.x,poses[4].position.y,poses[4].position.z,poses[4].orientation.x,poses[4].orientation.y,poses[4].orientation.z,poses[4].orientation.w,poses[5].position.x,poses[5].position.y,poses[5].position.z,poses[5].orientation.x,poses[5].orientation.y,poses[5].orientation.z,poses[5].orientation.w,poses[6].position.x,poses[6].position.y,poses[6].position.z,poses[6].orientation.x,poses[6].orientation.y,poses[6].orientation.z,poses[6].orientation.w,poses[7].position.x,poses[7].position.y,poses[7].position.z,poses[7].orientation.x,poses[7].orientation.y,poses[7].orientation.z,poses[7].orientation.w,poses[8].position.x,poses[8].position.y,poses[8].position.z,poses[8].orientation.x,poses[8].orientation.y,poses[8].orientation.z,poses[8].orientation.w,poses[9].position.x,poses[9].position.y,poses[9].position.z,poses[9].orientation.x,poses[9].orientation.y,poses[9].orientation.z,poses[9].orientation.w
1.178189754486084,-5.345352349254074,-22.956985116196204,0.0,0.0,0.0,0.0,1.0,-5.228749586646693,-22.718390056873904,0.0,0.0,0.0,0.0,1.0,-5.072923454785485,-22.50335047165793,0.0,0.0,0.0,0.0,1.0,-4.882499285294315,-22.31824930403794,0.0,0.0,0.0,0.0,1.0,-4.663129371036876,-22.168580846107194,0.0,0.0,0.0,0.0,1.0,-4.42132519111889,-22.058787653445375,0.0,0.0,0.0,0.0,1.0,-4.164264132970814,-21.992128678322167,0.0,0.0,0.0,0.0,1.0,-3.899576448510702,-21.97058253537665,0.0,0.0,0.0,0.0,1.0,-3.6351187680916155,-21.994788771103032,0.0,0.0,0.0,0.0,1.0,-3.3787408949385123,-22.064028880419638,0.0,0.0,0.0,0.0,1.0
1.5590918064117432,-5.255938046938638,-22.86595755362466,0.0,0.0,0.0,0.0,1.0,-5.077135182424004,-22.57695724480166,0.0,0.0,0.0,0.0,1.0,-4.839521170390874,-22.333993823390234,0.0,0.0,0.0,0.0,1.0,-4.554572561313202,-22.148802211692708,0.0,0.0,0.0,0.0,1.0,-4.236052125604156,-22.030327003762327,0.0,0.0,0.0,0.0,1.0,-3.899344123754617,-21.98429044927659,0.0,0.0,0.0,0.0,1.0,-3.560711259908784,-22.01291607384614,0.0,0.0,0.0,0.0,1.0,-3.236509207374024,-22.114821284658326,0.0,0.0,0.0,0.0,1.0,-2.942396643800864,-22.28508414850964,0.0,0.0,0.0,0.0,1.0,-2.692578950648042,-22.515481116905992,0.0,0.0,0.0,0.0,1.0
1.909721851348877,-5.130247965536567,-22.713102645145728,0.0,0.0,0.0,0.0,1.0,-4.8790931373238555,-22.38123507617365,0.0,0.0,0.0,0.0,1.0,-4.556490892640558,-22.118285227732372,0.0,0.0,0.0,0.0,1.0,-4.180794434097631,-21.939212610874584,0.0,0.0,0.0,0.0,1.0,-3.773377553531601,-21.85420486711063,0.0,0.0,0.0,0.0,1.0,-3.3574186530750767,-21.868098182085564,0.0,0.0,0.0,0.0,1.0,-2.9565820999286143,-21.980102149567333,0.0,0.0,0.0,0.0,1.0,-2.593671934036191,-22.183844738541573,0.0,0.0,0.0,0.0,1.0,-2.289334520740793,-22.467734805184737,0.0,0.0,0.0,0.0,1.0,-2.060883955961959,-22.815621526003778,0.0,0.0,0.0,0.0,1.0
2.243577718734741,-4.9879525554023125,-22.56782344838517,0.0,0.0,0.0,0.0,1.0,-4.6639317967548015,-22.206574084307892,0.0,0.0,0.0,0.0,1.0,-4.264458069490152,-21.931054037294913,0.0,0.0,0.0,0.0,1.0,-3.8116562631162885,-21.756523010754318,0.0,0.0,0.0,0.0,1.0,-3.330604847758421,-21.692647421810353,0.0,0.0,0.0,0.0,1.0,-2.8479469007605904,-21.74296502589268,0.0,0.0,0.0,0.0,1.0,-2.3904144773710145,-21.904688977823145,0.0,0.0,0.0,0.0,1.0,-1.9833480533779362,-22.16886218149497,0.0,0.0,0.0,0.0,1.0,-1.64929304050318,-22.520853379472975,0.0,0.0,0.0,0.0,1.0,-1.4067511066787821,-22.941167506546368,0.0,0.0,0.0,0.0,1.0
2.6025352478027344,-4.8732382211598155,-22.524943033322305,0.0,0.0,0.0,0.0,1.0,-4.481894322274542,-22.145774316551346,0.0,0.0,0.0,0.0,1.0,-4.0145739925756025,-21.865541070089513,0.0,0.0,0.0,0.0,1.0,-3.4957681094073134,-21.69892949017252,0.0,0.0,0.0,0.0,1.0,-2.9526657558090776,-21.654671197294004,0.0,0.0,0.0,0.0,1.0,-2.4137293210288724,-21.735085637781182,0.0,0.0,0.0,0.0,1.0,-1.907202870821529,-21.935958528467832,0.0,0.0,0.0,0.0,1.0,-1.4596319594360403,-22.24676271481999,0.0,0.0,0.0,0.0,1.0,-1.0944724555710525,-22.651209867992737,0.0,0.0,0.0,0.0,1.0,-0.8308612896186824,-23.128104108005864,0.0,0.0,0.0,0.0,1.0
2.9836344718933105,-4.640143186778495,-22.33357715185864,0.0,0.0,0.0,0.0,1.0,-4.172532466619513,-21.94798465465188,0.0,0.0,0.0,0.0,1.0,-3.6326210364973033,-21.672599456913982,0.0,0.0,0.0,0.0,1.0,-3.0459434665015355,-21.52044562563258,0.0,0.0,0.0,0.0,1.0,-2.4402460844469447,-21.49871912379809,0.0,0.0,0.0,0.0,1.0,-1.8441747411014995,-21.608447484544556,0.0,0.0,0.0,0.0,1.0,-1.2859200333778324,-21.84444121499965,0.0,0.0,0.0,0.0,1.0,-0.7918840582995803,-22.195539228150153,0.0,0.0,0.0,0.0,1.0,-0.3854317522778832,-22.64513669526868,0.0,0.0,0.0,0.0,1.0,-0.08578586985577807,-23.171970354650107,0.0,0.0,0.0,0.0,1.0
3.342438220977783,-4.495410582553005,-22.285691414020196,0.0,0.0,0.0,0.0,1.0,-3.9565358340496597,-21.900944339667706,0.0,0.0,0.0,0.0,1.0,-3.3512098780800796,-21.632622158648587,0.0,0.0,0.0,0.0,1.0,-2.704244796915553,-21.49172329580321,0.0,0.0,0.0,0.0,1.0,-2.0421594448397906,-21.48402314229459,0.0,0.0,0.0,0.0,1.0,-1.3920924503294216,-21.609837324506287,0.0,0.0,0.0,0.0,1.0,-0.7806898139244431,-21.86400876663617,0.0,0.0,0.0,0.0,1.0,-0.23301269873170494,-22.236119077285455,0.0,0.0,0.0,0.0,1.0,0.22848981718390338,-22.71091559538653,0.0,0.0,0.0,0.0,1.0,0.5849009200291198,-23.268936591018413,0.0,0.0,0.0,0.0,1.0
3.710597276687622,-4.255526710154619,-22.150946085798946,0.0,0.0,0.0,0.0,1.0,-3.649614591006908,-21.776889104768895,0.0,0.0,0.0,0.0,1.0,-2.9852574143505435,-21.520612568557382,0.0,0.0,0.0,0.0,1.0,-2.285106768615793,-21.39085435315427,0.0,0.0,0.0,0.0,1.0,-1.573034638367031,-21.392038629463453,0.0,0.0,0.0,0.0,1.0,-0.873319477113613,-21.524125018995043,0.0,0.0,0.0,0.0,1.0,-0.20981842135988416,-21.78260997059005,0.0,0.0,0.0,0.0,1.0,0.3948461303319517,-22.158680311237514,0.0,0.0,0.0,0.0,1.0,0.920057839274576,-22.639513735592512,0.0,0.0,0.0,0.0,1.0,1.3479093509789468,-23.20871598885551,0.0,0.0,0.0,0.0,1.0
4.077903509140015,-4.111768057674252,-22.125714866146136,0.0,0.0,0.0,0.0,1.0,-3.451611967571955,-21.773068498354473,0.0,0.0,0.0,0.0,1.0,-2.740262966498462,-21.54037100655977,0.0,0.0,0.0,0.0,1.0,-1.9993199234577408,-21.434687843353142,0.0,0.0,0.0,0.0,1.0,-1.251280278808725,-21.45922789325482,0.0,0.0,0.0,0.0,1.0,-0.5188569488135681,-21.613246040544706,0.0,0.0,0.0,0.0,1.0,0.17571131236325854,-21.892065793398775,0.0,0.0,0.0,0.0,1.0,0.8113351535525926,-22.287221277388962,0.0,0.0,0.0,0.0,1.0,1.3687149678653663,-22.78671428696213,0.0,0.0,0.0,0.0,1.0,1.8309268915207495,-23.375378589979217,0.0,0.0,0.0,0.0,1.0
4.448469400405884,-3.847136878302944,-22.00981993648009,0.0,0.0,0.0,0.0,1.0,-3.2246351607332846,-21.674532463925214,0.0,0.0,0.0,0.0,1.0,-2.579091225275385,-21.386089913279616,0.0,0.0,0.0,0.0,1.0,-1.9140243108662145,-21.14606475420733,0.0,0.0,0.0,0.0,1.0,-1.2330600876613111,-20.95576550474913,0.0,0.0,0.0,0.0,1.0,-0.5399108913784376,-20.816229597822566,0.0,0.0,0.0,0.0,1.0,0.1616445148236174,-20.728217725566147,0.0,0.0,0.0,0.0,1.0,0.8677815406012153,-20.692209692359935,0.0,0.0,0.0,0.0,1.0,1.5746506185129245,-20.708401799130243,0.0,0.0,0.0,0.0,1.0,2.278398190271406,-20.776705773198035,0.0,0.0,0.0,0.0,1.0
