time,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1.4341459274291992,50.03247298160568,19.995206016115844,237.30884307529777,-0.0009066033526323737,0.00138940685428679,0.9749380350112915,0.22247169911861422
1.454145908355713,50.03247296856716,19.995205979095775,237.30891364533454,-0.0005084408912807703,0.0024325945414602757,0.9747250080108643,0.22339436411857605
1.4741458892822266,50.03247295529582,19.9952059420757,237.30894202552736,-0.0001558111107442528,0.003311611479148269,0.9745150208473207,0.22429797053337097
1.4941458702087402,50.032472941791646,19.995205905288458,237.308926376747,0.00015038199489936233,0.0040165213868021965,0.9743051528930664,0.22519643604755404
1.514145851135254,50.03247292805463,19.99520586826839,237.30888776108623,0.00044432468712329865,0.004514731466770172,0.9740968346595765,0.226086363196373
1.534146785736084,50.03247291385197,19.995205831248313,237.30880892486314,0.0006910773226991296,0.004831320606172085,0.9738883972167969,0.22697529196739197
1.5541467666625977,50.03247290593573,19.995205805869777,237.30868207849562,0.0009025855106301607,0.00499157002195716,0.9736703634262085,0.22790437936782837
1.5741467475891113,50.03247288847342,19.995205770246685,237.30843769432977,0.001062803901731968,0.004963902290910483,0.9734516739845277,0.22883649170398715
1.594146728515625,50.03247286984697,19.995205736719072,237.30821638554335,0.0011978393886238337,0.004751960281282664,0.9732295274734497,0.2297835648059845
1.6141467094421387,50.03247285075486,19.99520570249297,237.30797496438026,0.0012786146253347397,0.004342921078205109,0.9729993343353271,0.23076416552066806
1.6341469287872314,50.03247283142992,19.995205668034036,237.3077237142716,0.0012817229144275188,0.0038148446474224333,0.9727596044540405,0.2317819893360138
1.6541478633880615,50.03247281117365,19.995205632410944,237.3074738646392,0.0012296289205551147,0.0031915584113448863,0.9725014567375184,0.23287253081798556
1.6741478443145752,50.03247279021889,19.995205595623702,237.30724907806143,0.0011840917868539693,0.00249215355142951,0.9722201228141786,0.2340538501739502
1.6941478252410889,50.03247276833281,19.99520555767231,237.30703798262402,0.001118344021961093,0.0017433776520192623,0.9719136357307435,0.2353295832872391
1.7141478061676025,50.03247274528258,19.9952055180911,237.30685397190973,0.0010440537007525565,0.00098707084544003,0.9715862870216371,0.23668219149112704
1.7341477870941162,50.03247272153386,19.99520547757857,237.30668506235818,0.0009166325908154249,0.00022666584118269384,0.9712347984313965,0.2381228804588318
1.7541477680206299,50.03247269685381,19.99520543590188,237.30654724012132,0.0007368851220235229,-0.0005497210659086704,0.9708606600761415,0.23964352905750277
1.77414870262146,50.03247267147526,19.995205393061042,237.30644851247783,0.0005514216027222575,-0.001374324434436858,0.9704697132110596,0.2412190288305283
1.7941489219665527,50.03247264539823,19.99520534928888,237.30638375133276,0.0003541480109561235,-0.0022074715234339237,0.970069408416748,0.2428179383277893
1.8141486644744873,50.03247261419892,19.995205297600478,237.30635412572886,0.00010350981028750539,-0.003084940370172262,0.9696612358093262,0.2444337457418442
1.834148645401001,50.032472586259246,19.99520525406115,237.30637533264235,-0.0002109459019266069,-0.0039786696434021,0.9692450761795044,0.2460658848285675
1.8541486263275146,50.032472557388246,19.99520520982333,237.30643612029965,-0.0006063730106689037,-0.004933511838316917,0.9688272476196289,0.2476881742477417
1.8741488456726074,50.03247252781876,19.99520516442135,237.30654895259067,-0.0010026457021012904,-0.005907387007027865,0.9684033393859863,0.24931831657886508
1.8941497802734375,50.03247249731794,19.995205118553717,237.30669746175408,-0.0014368759002536535,-0.006904318928718567,0.9679749011993408,0.2509489059448242
1.9141497611999512,50.03247246635147,19.995205071289092,237.3068807104137,-0.0019086928805336358,-0.007890862412750723,0.9675479531288148,0.25255703926086426
1.9341497421264648,50.032472434453666,19.995205023093153,237.30711224488914,-0.002453760011121631,-0.00889913644641638,0.9671202898025513,0.25415337085723877
1.9541497230529785,50.03247240162455,19.995204974198717,237.3073891976383,-0.0029944442212581635,-0.00987151823937893,0.9666932821273804,0.2557312250137329
1.9741497039794922,50.03247236832976,19.995204924605787,237.3077008945402,-0.0035453906748443846,-0.010856080800294876,0.9662673473358154,0.2572887837886811
1.9941496849060059,50.03247233433649,19.995204874314368,237.3080447805114,-0.004082708153873683,-0.01181410625576973,0.9658405780792236,0.2588367462158203
2.0141496658325195,50.03247229964473,19.995204823091626,237.30841207527558,-0.00456654466688633,-0.01268159691244364,0.9654187560081483,0.2603565156459809
2.034149646759033,50.032472264021635,19.995204771403223,237.30882207793186,-0.00506163900718093,-0.013507929630577566,0.9650027155876161,0.2618436813354492
2.0541417598724365,50.03247222793289,19.99520471924916,237.30926550668667,-0.005543586798012257,-0.01421524863690138,0.9645929336547852,0.26330214738845825
2.0741426944732666,50.032472181133926,19.99520465126261,237.30959531548436,-0.0059594037011265755,-0.014834736473858358,0.9641910791397095,0.2647270858287812
2.0941426753997803,50.03247213992291,19.995204593753446,237.3098085673992,-0.006313949823379517,-0.015316055156290533,0.963794767856598,0.26612991094589233
2.114142656326294,50.03247209824622,19.995204535080124,237.31003248807977,-0.006601043511182071,-0.015654647722840313,0.9634019136428833,0.26752266287803655
2.1341426372528076,50.03247205587104,19.995204476173967,237.31026270682926,-0.006855650339275599,-0.015854289755225185,0.9630120396614076,0.26890504360198975
2.1541426181793213,50.03247201256454,19.995204416802157,237.31052480917424,-0.007042075973004104,-0.015904156491160396,0.9626244306564331,0.27028125524520874
2.174142599105835,50.03247196902522,19.995204356964678,237.31078076921403,-0.00714500155299902,-0.01577186025679112,0.9622411131858827,0.27164745330810547
