time,child_frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance
0.9751772880554199,,-30.413216851492248,-7.401046604064181,0.0,0.002034185221418739,-0.012782468460500242,0.9974970221519471,-0.06951679289340973,[0.00445939 0.         0.         0.         0.         0.
 0.         0.00445939 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05      ],0.1066803364621011,0.09372637849410884,0.0,-0.08032172173261644,-0.04008113592863083,0.36517006158828735,[0.35355455 0.         0.         0.         0.         0.
 0.         0.35355455 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05      ]
1.2516846656799316,,-30.367450876294455,-7.3657774162279015,0.0,0.002919407328590751,-0.012361752800643446,0.9934271574020386,-0.1137607991695404,[0.0045904 0.        0.        0.        0.        0.        0.
 0.0045904 0.        0.        0.        0.        0.        0.
 0.        0.        0.        0.        0.        0.        0.
 0.05      0.05      0.05      0.        0.        0.        0.05
 0.05      0.05      0.        0.        0.        0.05      0.05
 0.05     ],0.1035074619072138,0.08214291367104179,0.0,0.05660726875066757,0.019917638972401622,0.3000132441520691,[0.32806486 0.         0.         0.         0.         0.
 0.         0.32806486 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05      ]
1.4863409996032715,,-30.32239967952491,-7.35097827589672,0.0,-0.004289817065000534,-0.009406845085322859,0.9885401725769043,-0.15060371160507202,[0.00445076 0.         0.         0.         0.         0.
 0.         0.00445076 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05
