time,ns,id,type,action,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,scale.x,scale.y,scale.z,color.r,color.g,color.b,color.a,lifetime.sec,lifetime.nanosec,frame_locked,points[0].x,points[0].y,points[0].z,points[1].x,points[1].y,points[1].z,points[2].x,points[2].y,points[2].z,texture_resource,texture.header.stamp.sec,texture.header.stamp.nanosec,texture.header.frame_id,texture.format,text,mesh_resource,mesh_file.filename,mesh_use_embedded_materials
1.9093198776245117,robot_triangle,0,11,0,-7.336207776614426,-30.2862540602245,1.0,0.0,0.0,-0.5653905443917386,0.8248233340009322,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
2.277588367462158,robot_triangle,0,11,0,-7.316662035500407,-30.241981434532388,1.0,0.0,0.0,-0.5396360916622257,0.841898383758704,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
2.486201524734497,robot_triangle,0,11,0,-7.308800037702203,-30.20651200681702,1.0,0.0,0.0,-0.5155065594598409,0.8568856324818835,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
2.8518683910369873,robot_triangle,0,11,0,-7.309329200521799,-30.171527678291998,1.0,0.0,0.0,-0.496985145767527,0.8677590477122263,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
2.9858338832855225,robot_triangle,0,11,0,-7.309341324692056,-30.137377051002254,1.0,0.0,0.0,-0.4777940710749075,0.878471869581301,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
3.1183156967163086,robot_triangle,0,11,0,-7.302784710647012,-30.11460335724196,1.0,0.0,0.0,-0.4628258750816544,0.8864492141994943,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
3.3300135135650635,robot_triangle,0,11,0,-7.302656229357602,-30.09207793581206,1.0,0.0,0.0,-0.4440264215312286,0.896013692407751,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
3.518527030944824,robot_triangle,0,11,0,-7.302450559046366,-30.0474738064449,1.0,0.0,0.0,-0.40149432356602444,0.9158615114438757,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
3.8290646076202393,robot_triangle,0,11,0,-7.277973526833575,-29.97161465480775,1.0,0.0,0.0,-0.3086554172850384,0.9511739238333854,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
4.16554594039917,robot_triangle,0,11,0,-7.242484588319212,-29.87272799193065,1.0,0.0,0.0,-0.20052622793142505,0.9796883340693581,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
4.326841354370117,robot_triangle,0,11,0,-7.233462007035929,-29.749651680804323,1.0,0.0,0.0,-0.07728545879261614,0.9970090059067745,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
4.5932652950286865,robot_triangle,0,11,0,-7.2412287474683055,-29.636460577319777,1.0,0.0,0.0,0.06512702693113122,0.9978769815779457,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
4.8686535358428955,robot_triangle,0,11,0,-7.268025731860176,-29.52296371130412,1.0,0.0,0.0,0.19290043723899022,0.9812183351899854,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
5.1053996086120605,robot_triangle,0,11,0,-7.260308027284898,-29.427828824751337,1.0,0.0,0.0,0.29123983541580417,0.9566500709595831,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
5.321941375732422,robot_triangle,0,11,0,-7.2207717433442165,-29.31677918348161,1.0,0.0,0.0,0.3731356534013949,0.9277767965198925,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
5.597097635269165,robot_triangle,0,11,0,-7.166185728953187,-29.203777768163174,1.0,0.0,0.0,0.43238871259661227,0.9016873078950619,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
5.813116073608398,robot_triangle,0,11,0,-7.106360761718339,-29.079267300032953,1.0,0.0,0.0,0.4693703549664108,0.8830013985712059,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
6.13865065574646,robot_triangle,0,11,0,-7.022130700938896,-28.935898945438133,1.0,0.0,0.0,0.49423270396180297,0.8693296465292121,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
6.364162921905518,robot_triangle,0,11,0,-6.922505145170144,-28.770847064601657,1.0,0.0,0.0,0.507252716065138,0.8617973555567112,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
6.612595319747925,robot_triangle,0,11,0,-6.807743970214091,-28.605463981217493,1.0,0.0,0.0,0.5078551622045622,0.8614424729615889,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,False,0.3,0.0,0.0,-0.2,0.15,0.0,-0.2,-0.15,0.0,,0,0,,,,,,False
