time,orientation.x,orientation.y,orientation.z,orientation.w,orientation_covariance,angular_velocity.x,angular_velocity.y,angular_velocity.z,angular_velocity_covariance,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,linear_acceleration_covariance
66.27998042106628,-0.010182281024754049,0.00869854260236025,0.9948397874832153,-0.10057403147220612,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.006948412396013737,0.025305896997451782,0.2195142358541489,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.4193318486213684,0.24884442985057834,10.092998504638672,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.2999804019928,-0.010238168761134148,0.008693943731486799,0.9946177601814271,-0.1027393490076065,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0033780927769839764,0.012411921285092832,0.2203531265258789,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.4757682085037234,0.028433667495846752,9.882904052734375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.3199815750122,-0.010296639986336233,0.008659494109451773,0.9943893551826478,-0.10492399334907532,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.0020958478562533855,-0.006823241245001555,0.22063626348972323,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.16325992345809937,-0.011865097098052503,9.632893562316896,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.33998155593872,-0.01040409691631794,0.008663934655487539,0.9941576123237611,-0.10708867758512498,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0017091630725190046,0.02841874584555626,0.22389514744281772,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.7518731355667114,0.3815630078315735,9.664721488952638,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.35998153686523,-0.010483321733772756,0.008621275424957275,0.993921160697937,-0.1092585250735283,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.016118587926030162,0.01235529873520136,0.21802112460136414,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.5666640996932986,0.27294111251831055,9.959564208984375,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.37998151779175,-0.010557924397289755,0.008581282570958138,0.993682861328125,-0.1113993227481842,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.0017568470211699607,0.0016547739505767822,0.21645800769329074,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.16565197706222534,-0.5416154265403749,9.535547256469727,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.39998149871826,-0.010643512941896917,0.008605117909610273,0.9934395551681519,-0.11353984475135803,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.017765907570719722,0.0060357144102454185,0.21973475813865662,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.1297352910041809,0.7710312008857728,9.879242897033693,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.41998147964478,-0.010749139823019506,0.008557441644370558,0.9931942224502563,-0.11565835773944855,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.01825094223022461,0.027862938120961193,0.21468773484230042,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.514222800731659,0.16729062795639038,9.871335029602053,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.4399824142456,-0.010815862566232681,0.008518208749592306,0.9929471611976625,-0.11775673925876617,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.00555068301036954,0.0065498067997396,0.21139460802078247,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-1.3487272262573242,-0.04326891899108887,9.835339546203615,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.45998239517212,-0.010850314982235433,0.008494473993778229,0.9926944375038148,-0.11986742913722992,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.012231619097292425,-0.0029012560844421387,0.2161391228437424,[0. 0. 0. 0. 0. 0. 0. 0. 0.],0.4969916641712189,-0.06864160299301147,9.531877517700195,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.47998237609863,-0.01094054989516735,0.008396499790251257,0.9924381971359253,-0.12196977436542511,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.020691748708486557,0.015103070996701719,0.2141542583703995,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.8607925176620483,0.38036552071571356,9.973917007446289,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
66.49998235702515,-0.010944675654172897,0.00833055004477501,0.9921797513961792,-0.12405947595834733,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.016085803508758545,-0.00447183893993497,0.21286830306053162,[0. 0. 0. 0. 0. 0. 0. 0. 0.],-0.9973422884941102,-0.05136004090309143,9.757884979248047,[0. 0. 0. 0. 0. 0. 0. 0. 0.]
