time,quaternion.x,quaternion.y,quaternion.z,quaternion.w
0.0,-0.001746028196066618,-0.0010000388137996197,0.523112714290619,-0.8522613644599916
0.019999980926513672,-0.002261242596432567,-0.0007256944081746043,0.523263692855835,-0.8521675467491151
0.039999961853027344,-0.0027592875994741917,-0.00042327909613959497,0.5235064625740052,-0.8520171642303467
0.059999942779541016,-0.0031780432909727097,-0.00013926607789471745,0.5238282680511475,-0.8518181443214418
0.07999992370605469,-0.003570854896679521,0.0001533323375042528,0.5242425799369813,-0.8515616655349731
0.10000085830688477,-0.003896991023793817,0.00041969303856603807,0.524725079536438,-0.8512628674507142
0.12000083923339844,-0.004176405258476734,0.000600211787968874,0.5252972841262817,-0.8509082794189453
0.1400008201599121,-0.004374790471047164,0.000781815906520933,0.5259371995925903,-0.8505119681358339
0.16000080108642578,-0.004513205029070377,0.0009207514813169837,0.5266573429107666,-0.8500652313232422
0.18000102043151855,-0.004635978490114212,0.0010828458471223714,0.5274426937103271,-0.8495774269104004
0.20000171661376953,-0.004734229762107135,0.0012063917238265276,0.5282865762710571,-0.8490523695945741
0.2200019359588623,-0.004758946131914855,0.0012517088325694206,0.5291788578033447,-0.8484961986541748
0.24000191688537598,-0.004791657440364361,0.0013527428964152934,0.5301280617713929,-0.8479029536247255
0.26000189781188965,-0.004806485492736102,0.0013948003761470318,0.5311187505722046,-0.8472827076911927
0.2800018787384033,-0.004830305930227042,0.001445055939257145,0.5321518182754517,-0.8466339707374574
0.300001859664917,-0.004813304170966148,0.001502401428297162,0.5332413315773011,-0.8459481596946717
0.32000279426574707,-0.004867649637162685,0.0015947602223604918,0.5343623757362367,-0.8452400565147401
0.34000277519226074,-0.004960911348462105,0.0017023403197526932,0.5355352163314819,-0.8444966673851014
0.3600027561187744,-0.004997452255338431,0.0017532699275761843,0.5367555618286133,-0.8437213897705078
0.3800027370452881,-0.005131766665726901,0.0019347964553162458,0.538000524044037,-0.8429269194602967
0.40000271797180176,-0.005206983536481857,0.0020577004179358482,0.5392966866493226,-0.842097282409668
0.42000293731689453,-0.005311870947480202,0.0022108834236860275,0.5406757593154907,-0.841211497783661
0.4400038719177246,-0.005426420830190182,0.002374742412939668,0.5421258807182313,-0.8402765393257142
0.4600038528442383,-0.005507912486791611,0.0025655261706560854,0.5436984896659852,-0.8392589092254639
0.48000383377075195,-0.005575272720307113,0.0028504168149083857,0.5454092621803285,-0.8381467461586
0.5000038146972656,-0.005628244951367378,0.003137365216389299,0.5472095608711244,-0.8369711041450502
0.5200037956237793,-0.005667553283274174,0.0034324247390031815,0.5491371750831605,-0.8357060551643373
0.5400047302246094,-0.005694666877388954,0.0037796574179083113,0.5511789321899414,-0.8343592882156372
0.560004711151123,-0.005685897544026375,0.004184326156973839,0.5533519387245179,-0.8329175710678101
0.5800046920776367,-0.00571358809247613,0.004673680756241084,0.5556423068046571,-0.8313888311386108
0.6000046730041504,-0.005712624173611403,0.0051729786209762105,0.5580803751945497,-0.8297508955001831
0.6200046539306641,-0.0057576242834329605,0.005656379740685225,0.5606909394264222,-0.8279857635498047
0.6400046348571777,-0.005796374753117561,0.00618600519374013,0.5634581446647645,-0.8261013627052308
0.6600058078765869,-0.005815815646201373,0.006782312411814929,0.5663772821426392,-0.8240982294082642
0.6800057888031006,-0.005768607836216689,0.007459257263690234,0.5694479346275331,-0.8219735026359559
0.7000057697296143,-0.005770957563072444,0.00809148419648409,0.5726552605628968,-0.8197359442710878
0.7200057506561279,-0.00568184070289135,0.00861680693924427,0.5762059688568115,-0.8172392845153809
0.7400057315826416,-0.005558382254093886,0.009173608385026457,0.5798668265342714,-0.8146407604217529
0.7600057125091553,-0.005379696376621723,0.009704519994556906,0.5836105942726136,-0.8119580149650575
0.7800066471099854,-0.005129015073180199,0.010184930637478828,0.5874079465866089,-0.8092109560966493
0.800006628036499,-0.004859696608036757,0.010626634582877159,0.5912659168243408,-0.8063924908638002
0.8200066089630127,-0.00454820552840829,0.010944247245788574,0.5951555371284486,-0.8035235404968262
0.8400065898895264,-0.004170771688222885,0.011212824843823911,0.5990547537803651,-0.8006191849708558
0.8600077629089355,-0.0038169242907315497,0.011501624248921873,0.6029713153839111,-0.7976712584495546
0.8800077438354492,-0.003378645982593298,0.011723682284355164,0.6069402694702148,-0.7946537733078003
0.9000077247619629,-0.0029193798545748,0.011815719306468964,0.6109324097633363,-0.7915892004966737
0.9200077056884766,-0.002360963262617588,0.011886890046298506,0.6149513125419618,-0.7884718775749208
0.9400076866149902,-0.0017711420077830553,0.011797037906944753,0.6190410256385804,-0.7852683067321777
0.959998607635498,-0.0010092607699334621,0.011597463861107826,0.6231040954589844,-0.7820524573326112
0.9799995422363281,-0.00020605174358934164,0.011312546208500862,0.6278074383735658,-0.7782869935035707
0.9999995231628418,0.0007954731700010599,0.010849932208657265,0.6326586604118348,-0.7743545174598695
1.0199995040893555,0.001888267695903778,0.010265842080116272,0.6376398801803589,-0.770263969898224
1.0399994850158691,0.003089121077209711,0.009650155901908875,0.6427136659622192,-0.7660394906997681
1.0599994659423828,0.004213811364024878,0.00901355314999819,0.6478845477104188,-0.7616740465164185
1.0799996852874756,0.005420067347586155,0.008221859112381935,0.6531402468681337,-0.7571729421615601
1.1000006198883057,0.0065326238982379445,0.00746042188256979,0.658493161201477,-0.7525216937065126
1.1200006008148193,0.007701392285525799,0.0067109838128089905,0.6639538407325746,-0.7477040886878968
1.140000581741333,0.008783764205873014,0.005893068853765727,0.6695263981819154,-0.7427132725715638
