time,child_frame_id,pose.pose.position.x,pose.pose.position.y,pose.pose.position.z,pose.pose.orientation.x,pose.pose.orientation.y,pose.pose.orientation.z,pose.pose.orientation.w,pose.covariance,twist.twist.linear.x,twist.twist.linear.y,twist.twist.linear.z,twist.twist.angular.x,twist.twist.angular.y,twist.twist.angular.z,twist.covariance
-1.7633082551122194e+18,,-9.485546508902043,-4.84962584197011,0.0,0.002301461063325405,0.009599153883755209,-0.9998292922973633,-0.015614208765327932,[0.00448906 0.         0.         0.         0.         0.
 0.         0.00448906 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05      ],0.007407262658082846,-0.016758244236686353,0.0,0.0017918649828061464,0.0017680231248959901,-0.000998377799987793,[0.36365377 0.         0.         0.         0.         0.
 0.         0.36365377 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05      ]
-1.7633082551122194e+18,,-9.495833831126548,-4.850221018413925,0.0,0.0023088352754712105,0.009732728824019432,-0.9998275637626649,-0.015651825815439224,[0.00460028 0.         0.         0.         0.         0.
 0.         0.00460028 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05      ],-0.023282771591933094,0.0063503108956971446,0.0,0.0002317130274605006,0.002495199674740434,0.001522153615951538,[0.32077253 0.         0.         0.         0.         0.
 0.         0.32077253 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05      ]
-1.7633082551122194e+18,,-9.496678388334026,-4.8503135052184865,0.0,0.0025639177765697245,0.009680252522230148,-0.9998271465301514,-0.015670118853449825,[0.00462245 0.         0.         0.         0.         0.
 0.         0.00462245 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05      ],0.011626816900917828,0.00905115726417454,0.0,0.00041499736835248774,0.0036187469959259033,-0.0014513729838654401,[0.25611668 0.         0.         0.         0.         0.
 0.         0.25611668 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05      ]
-1.7633082551122194e+18,,-9.497063942828667,-4.856603381086104,0.0,0.002547072246670723,0.009524765424430372,-0.9998268485069276,-0.0157792791724205,[0.00425736 0.         0.         0.         0.         0.
 0.         0.00425736 0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.05       0.05       0.05
 0.         0.         0.         0.05       0.05       0.05
