time,linear,angular
73153779,0.0,0.0
87181531,0.0,0.0
117923230,0.0,0.0
176688564,0.0,0.0
223001012,0.0,0.0
254305735,0.0,0.0
314703342,0.0,0.0
486086688,0.0,0.0
488823057,0.0,0.0
490928468,0.0,0.0
515261809,0.0,0.0
610553859,0.0,0.0
642572418,0.0,0.0
654979802,0.0,0.0
702407481,0.0,0.0
752452269,0.0,0.0
814897049,0.0,0.0
856191274,0.0,0.0
944855101,0.0,0.0
955454793,0.0,0.0
1037019690,0.0,0.0
1073113778,0.0,0.0
1108115546,0.0,0.0
1184796490,0.0,0.0
1363845538,0.0,0.0
1363905344,0.0,0.0
1364079259,0.0,0.0
1365151708,0.0,0.0
1401610843,0.0,0.0
1466238825,0.0,0.0
1569644339,0.0,0.0
1573993684,0.0,0.0
1626778650,0.0,0.0
1659747454,0.0,0.0
1721380931,0.0,0.0
1763289667,0.0,0.0
1804715954,0.0,0.0
1854897219,0.0,0.0
1901330689,0.0,0.0
1951260633,0.0,0.0
2001447626,0.0,0.0
2051362786,0.0,0.0
2101937736,0.0,0.0
2160603395,0.0,0.0
2201570753,0.0,0.0
2251542009,0.0,0.0
2312484244,0.0,0.0
2351051510,0.0,0.0
2401148427,0.0,0.0
2451133987,0.0,0.0
2501637260,0.0,0.0
2552258322,0.0,0.0
2602518370,0.0,0.0
2651100994,0.0,0.0
2701934818,0.0,0.0
2751936985,0.0,0.0
2806288050,0.0,0.0
2852425178,0.0,0.0
2900774561,0.0,0.0
2953401421,0.0,0.0
3002991120,0.0,0.0
3052358298,0.0,0.0
3101363822,0.0,0.0
3151393126,0.0,0.0
3202130537,0.0,0.0
3252295741,0.0,0.0
3304549141,0.0,0.0
3351994680,0.0,0.0
3401586109,0.0,0.0
3452397598,0.0,0.0
3513480374,0.0,0.0
3552835171,0.0,0.0
3601896791,0.0,0.0
3651300865,0.0,0.0
3702445945,0.0,0.0
3751237141,0.0,0.0
3801299212,0.0,0.0
3853898970,0.0,0.0
3901981066,0.0,0.0
3951829767,0.0,0.0
4001180243,0.0,0.0
4052596611,0.0,0.0
4100865742,0.0,0.0
4157750848,0.0,0.0
4205304161,0.0,0.0
4253442802,0.0,0.0
4301251499,0.0,0.0
4351230630,0.0,0.0
4401017350,0.0,0.0
4451645359,0.0,0.0
4501389488,0.0,0.0
4552013304,0.0,0.0
4603713506,0.0,0.0
4651491036,0.0,0.0
4706011060,0.0,0.0
4759957436,0.0,0.0
4802290388,0.0,0.0
4851228333,0.0,0.0
4901338884,0.0,0.0
4951440155,0.0,0.0
5011630927,0.0,0.0
